node_idx,distance,time,weekday,demand
s8,800.0,16,7,8
s8,800.0,17,1,8
s8,800.0,17,2,5
s8,800.0,17,3,5
s8,800.0,17,4,6
s8,800.0,17,5,6
s8,800.0,17,6,8
s8,800.0,17,7,8
s8,800.0,18,1,6
s8,800.0,18,2,5
s8,800.0,18,3,5
s8,800.0,18,4,3
s8,800.0,18,5,6
s8,800.0,18,6,9
s8,800.0,18,7,8
s8,800.0,19,1,5
s8,800.0,19,2,5
s8,800.0,19,3,2
s8,800.0,19,4,3
s8,800.0,19,5,5
s8,800.0,19,6,6
s8,800.0,19,7,5
s8,800.0,20,1,3
s8,800.0,20,2,3
s8,800.0,20,3,4
s8,800.0,20,4,2
s8,800.0,20,5,6
s8,800.0,20,6,8
s8,800.0,20,7,4
s8,800.0,21,1,2
s8,800.0,21,2,2
s8,800.0,21,3,2
s8,800.0,21,4,2
s8,800.0,21,5,4
s8,800.0,21,6,3
s8,800.0,21,7,2
s8,800.0,22,1,2
s8,800.0,22,2,1
s8,800.0,22,3,2
s8,800.0,22,4,2
s8,800.0,22,5,2
s8,800.0,22,6,8
s8,800.0,22,7,2
s8,800.0,23,1,1
s8,800.0,23,2,1
s8,800.0,23,3,1
s8,800.0,23,4,1
s8,800.0,23,5,2
s8,800.0,23,6,4
s8,800.0,23,7,2
s9,920.0,0,1,2
s9,920.0,0,2,2
s9,920.0,0,3,2
s9,920.0,0,4,2
s9,920.0,0,5,1
s9,920.0,0,6,1
s9,920.0,0,7,1
s9,920.0,1,1,1
s9,920.0,1,2,1
s9,920.0,1,3,0
s9,920.0,1,4,0
s9,920.0,1,5,1
s9,920.0,1,6,1
s9,920.0,1,7,1
s9,920.0,2,1,1
s9,920.0,2,2,1
s9,920.0,2,3,0
s9,920.0,2,4,0
s9,920.0,2,5,0
s9,920.0,2,6,0
s9,920.0,2,7,0
s9,920.0,3,1,1
s9,920.0,3,2,0
s9,920.0,3,3,0
s9,920.0,3,4,0
s9,920.0,3,5,0
s9,920.0,3,6,0
s9,920.0,3,7,1
s9,920.0,4,1,0
s9,920.0,4,2,0
s9,920.0,4,3,0
s9,920.0,4,4,0
s9,920.0,4,5,0
s9,920.0,4,6,0
s9,920.0,4,7,1
s9,920.0,5,1,0
s9,920.0,5,2,0
s9,920.0,5,3,0
s9,920.0,5,4,0
s9,920.0,5,5,0
s9,920.0,5,6,1
s9,920.0,5,7,0
s9,920.0,6,1,0
s9,920.0,6,2,0
s9,920.0,6,3,0
s9,920.0,6,4,0
s9,920.0,6,5,1
s9,920.0,6,6,1
s9,920.0,6,7,1
s9,920.0,7,1,2
s9,920.0,7,2,0
s9,920.0,7,3,1
s9,920.0,7,4,1
s9,920.0,7,5,2
s9,920.0,7,6,1
s9,920.0,7,7,3
s9,920.0,8,1,2
s9,920.0,8,2,2
s9,920.0,8,3,2
s9,920.0,8,4,2
s9,920.0,8,5,3
s9,920.0,8,6,2
s9,920.0,8,7,3
s9,920.0,9,1,5
s9,920.0,9,2,4
